iter	Passed	Remaining
581	8338	134941
582	8352	134922
583	8366	134896
584	8378	134850
585	8392	134823
586	8406	134810
587	8420	134790
588	8431	134714
589	8445	134696
590	8460	134693
591	8474	134681
592	8488	134659
593	8495	134523
594	8508	134495
595	8521	134456
596	8535	134434
597	8549	134422
598	8561	134367
599	8575	134345
600	8588	134321
601	8601	134285
602	8616	134279
603	8627	134217
604	8643	134221
605	8656	134195
606	8670	134175
607	8684	134156
608	8698	134129
609	8708	134061
610	8722	134037
611	8736	134014
612	8749	133987
613	8762	133949
614	8773	133887
615	8787	133865
616	8800	133833
617	8813	133797
618	8825	133748
619	8839	133726
620	8851	133685
621	8865	133662
622	8879	133648
623	8890	133592
624	8905	133582
625	8919	133567
626	8933	133547
627	8946	133511
628	8958	133461
629	8971	133433
630	8985	133411
631	8999	133392
632	9012	133372
633	9023	133303
634	9037	133285
635	9050	133259
636	9064	133239
637	9079	133228
638	9089	133162
639	9104	133155
640	9118	133140
641	9131	133110
642	9146	133103
643	9161	133092
644	9172	133039
645	9186	133016
646	9200	132998
647	9213	132969
648	9227	132946
649	9238	132898
650	9252	132870
651	9266	132850
652	9279	132831
653	9292	132800
654	9303	132736
655	9317	132716
656	9332	132713
657	9345	132682
658	9358	132648
659	9372	132635
660	9382	132568
661	9398	132569
662	9411	132546
663	9428	132564
664	9445	132596
665	9459	132573
666	9470	132522
667	9483	132485
668	9497	132474
669	9511	132456
670	9525	132437
671	9540	132431
672	9551	132376
673	9564	132347
674	9578	132327
675	9593	132316
676	9605	132276
677	9615	132206
678	9635	132271
679	9648	132235
680	9663	132237
681	9677	132227
682	9691	132199
683	9705	132190
684	9717	132144
685	9730	132112
686	9744	132093
687	9758	132074
688	9771	132045
689	9783	132006
690	9795	131968
691	9810	131953
692	9823	131934
693	9837	131912
694	9849	131871
695	9863	131852
696	9876	131823
697	9891	131815
698	9904	131797
699	9920	131804
700	9936	131815
701	9953	131835
702	9967	131813
703	9978	131765
704	9992	131750
705	10005	131716
706	10020	131706
707	10034	131694
